controller,scenario,success,rmse_h,max_abs_h,rmse_theta_deg,max_abs_theta_deg,rmse_v,sat_ratio,failure_reason,qp_success_ratio,qp_solver_success_ratio,qp_fallback_ratio,mean_qp_iterations,mean_qp_solve_time_ms,max_qp_solve_time_ms,max_qp_primal_residual,max_qp_dual_residual,max_qp_eq_residual,max_qp_ineq_violation,max_qp_friction_ratio,max_qp_leg_slack,max_qp_height_slack,rmse_v_steady_t_ge_2,sat_ratio_wheel,sat_ratio_knee,sat_ratio_hip,torque_energy
rl_ppo,A_impulse_push,1,0.000925203,0.00309661,0.0225684,0.0699941,0.21162,0,none,,,,,,,,,,,,,,0.03683603497637624,0.0,0.0,0.0,159902.22116772144
rl_ppo_direct,A_impulse_push,1,0.00118581,0.00202614,0.453123,1.71523,0.0331944,0,none,,,,,,,,,,,,,,0.03192282100432607,0.0,0.0,0.0,161321.51584759034
rl_ppo,B_constant_push,1,0.00174505,0.0025861,0.0554609,0.0618513,0.514222,0,none,,,,,,,,,,,,,,0.546813531137507,0.0,0.0,0.0,141265.12406781205
rl_ppo_direct,B_constant_push,1,0.00591087,0.00646457,1.38255,1.61868,0.0373957,0,none,,,,,,,,,,,,,,0.03011365153049663,0.0,0.0,0.0,142151.01143642416
rl_ppo,C_rough_terrain,1,0.0247295,0.104266,0.426384,1.82106,0.480974,0,none,,,,,,,,,,,,,,0.16976009731534075,0.0,0.0,0.0,163634.86977386742
rl_ppo_direct,C_rough_terrain,1,0.00308006,0.0152225,1.26121,3.39796,0.0321424,0.0183104,none,,,,,,,,,,,,,,0.03004518755802505,0.0,0.05493133583021224,0.0,171287.3024253813
rl_ppo,C_noise_terrain,1,0.00269325,0.00620677,0.0257235,0.0738302,0.202648,0,none,,,,,,,,,,,,,,0.04420569452183666,0.0,0.0,0.0,162238.07112440263
rl_ppo_direct,C_noise_terrain,1,0.00113414,0.00215132,0.449213,1.6075,0.0301187,0,none,,,,,,,,,,,,,,0.02756185998728648,0.0,0.0,0.0,164131.5779353361
rl_ppo,D_large_irregular_terrain,1,0.00425684,0.00864685,0.0400838,0.117464,0.231127,0,none,,,,,,,,,,,,,,0.17048757718309648,0.0,0.0,0.0,157519.13810349946
rl_ppo_direct,D_large_irregular_terrain,1,0.00137421,0.004316,0.949971,2.30264,0.0319872,0.00457761,none,,,,,,,,,,,,,,0.030515131197436526,0.0,0.01373283395755306,0.0,165278.72939406778
rl_ppo,E_combined_stress,1,0.00332534,0.00799189,0.0452048,0.125281,0.429053,0.00332917,none,,,,,,,,,,,,,,0.44239327570063547,0.0,0.009987515605493134,0.0,144835.70900548168
rl_ppo_direct,E_combined_stress,1,0.00518021,0.00813953,1.34637,2.85075,0.0351982,0.00832293,none,,,,,,,,,,,,,,0.023327117275028977,0.008739076154806492,0.016229712858926344,0.0,152304.34151697287
rl_ppo,F_high_speed_flat,1,0.0283498,0.119089,0.689712,3.01933,0.553053,0.000416146,none,,,,,,,,,,,,,,0.015648977314708105,0.0,0.0012484394506866417,0.0,175118.58694989726
rl_ppo_direct,F_high_speed_flat,1,0.0229629,0.0843808,2.81143,3.61815,0.294216,0.0636704,none,,,,,,,,,,,,,,0.2486578134171051,0.07740324594257178,0.1136079900124844,0.0,184612.7666871717
rl_ppo,G_requirement_boundary,1,0.0205932,0.0901628,0.559048,2.32402,0.798166,0.00374532,none,,,,,,,,,,,,,,0.6809057512110869,0.0,0.011235955056179775,0.0,147323.78266164483
rl_ppo_direct,G_requirement_boundary,1,0.0153564,0.0216753,4.05632,4.7711,0.158749,0.0407824,none,,,,,,,,,,,,,,0.1384053349779201,0.02372034956304619,0.0986267166042447,0.0,156169.9203494285
